label	x_train
1	除了睡觉时间没离开过手机5分钟以上，眼睛快瞎了疫情快快好转，上班吧2赤峰​
0	我佛了，晚上闭眼前看的疫情，早上睁开眼打开手机还是看它，臭病毒我劝你五天之内赶紧滚蛋！​
1	涓滴之水成海洋，颗颗爱心变希望。我在“疫情一线医护•守护者后盾行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！
0	大自然总在维持微妙的平衡，所谓有得必有失，有失必有得。当因为疫情，人们只能把活动范围限定到一个小的范围的时候。才更有心去体会环境，看到以前看不到的美。​
0	最近看各种疫情的新闻觉得真实版《釜山行》正在上映​
1	愿大家都能健康平安，早日战胜疫情​
1	等疫情结束，我和我妈还是这条街最靓的仔朋友们加油！
1	《林郑月娥：无限期暂停来往于武汉的航班以及高铁》林郑月娥表示，香港自1月
0	吃野味的人我要第一个骂，武汉政府我要第二个骂，明知疫情爆发自己可能是感染源还要回/逃到各省的人我要第三个骂，已知自己得病还要所有人共沉沦的我要第四个骂！cnm太坏了！简直不是人！​
0	过年了，吃了个饼干和糖，刷微博，肺炎新闻，膝盖太疼了，有点忍不住了
1	面对新型冠状病毒，如何做好防范？我们倡导大家戴口罩、勤洗手、少出门，注意个人卫生，保护自己、保护家人、保护他人。
1	2003的非典，我不害怕，因为我还是个孩子，十七年后的冠状病毒新型肺炎，我害怕，因为我已经有了孩子。疫情传播的很快，希望都重视起来。愿每个宝宝都健健康康的！​
0	人最害怕的不是死亡，而是不知道怎么活。做自己喜欢的事，看自己喜欢的景，见自己喜欢的人。
1	疫情最严重的地方是微博(确信​
0	疫情以后，希望本该进步的部分，会有一个真的进步！！​
0	买去学校的车票吧！​
1	霍乱时期的生日会关于无疫情小城的快乐记忆​
1	加油加油！！！​
1	一起来期待立春吧，疫情应该有个转折！​
0	宜昌封城Day4数据报得越来越详细，所以并不是那么害怕焦虑了。目前我们这个区一例确诊、一例疑似都没有。晚上看到一例87岁奶奶治愈的新闻，突然一下子想到我的奶奶，如果她还在的话对这次疫情又会有什么反应呢。其他人也快快好起来吧。​
1	希望疫情能快点被控制住希望不要延迟开学希望我能抢到早点的票早点见到宝宝希望今年湖人总冠军​
1	多希望这一切只是一场梦睁开眼后没有疫情科比也在晚安​
1	最近发生的噩耗真的好多啊我们期待的2020年竟然那么糟糕好希望疫情赶快过去让一线的医生所有为疫情抗争的人都歇歇他们真的辛苦了也希望所有的人都会平安健康来过好我们所期待更好的2020年没睡醒就看到微博说科比去世了有那么一丝难过那是多少男孩子的青春真的好可惜啊我以为干完这三天就可以完全解放了主管又找我跟我商量干到疫情结束有那么一丝不情愿想了想在家也是玩还是干下去吧毕竟这个时候谁都不是那么容易的最近是夜班我妹跟刘深凯一直陪着我上夜班我太喜欢听猪叫了今晚上一直让刘深凯学一遍然后让我妹再叫一声他两一直在学小猪佩奇叫哈哈哈真的好治愈猪叫也太可爱了吧我这个癖好也是没谁了刘深凯睡着的时候的颜值要夸夸的除了差评的趴鼻子睫毛真的羡慕了！真的得需要好好夸夸。那么困还定闹铃陪我下班！替我哄我妹开心！希望听到疫情得到控制的好消息！
1	求疫情快点过去吧，这样下去太伤财了，别刚脱贫又打回原形了，人民想过人民该有的美好生活。祖国加油！！！​
1	"""答应我,待疫情结束,见面的时候咱谁也别笑话谁胖好吗?.​"""
0	第一次没在家过年，心里有点空落落…特别是在这种疫情紧张的时期。若是往年，早就想好了要许什么愿，然而今年，到了最后一刻都还是没想好，或是想不到？这边新年气氛比中国更浓，感慨各种文化交错的一个城市。
0	疫情结束后你最想干什么？我最想让我老公请一个礼拜假在家陪我，带我去医院产检，在我不想动时候帮我做事，在我不舒服时候安慰我，我老公真的太对不起我了，怀二胎以来，我前期孕吐严重，有流产先兆，每天躺在床上，他不在我身边，后来孕期生病去医院输液，其他孕妇都有老公陪着，我每次都是一个人，我儿子生病，也是我挺着肚子照顾他，除夕那天，水管坏了他都没来得及帮我修就走了，让我和我儿子两个人在家，疫情那么恐怖，他没有在我身边过一天，所有的情绪所有的难处都要我自己消化
0	感觉焦虑方方面面，特别是睡觉前再来这么一出，彻底失眠。不觉在这个层面上统筹有意义或者说有效率……Anyway，暂时远离下微博和疫情消息，做些稍微持续性深入点的阅读，再把开年的几件事情好好理理
